;;;;;;;;;czwartek, 4 grudnia 2025
Plan dla toku: Informatyka S inz. 3.50 2025/2026 Zima;;;;;;;;;
Czas od;;Czas do;Liczba godzin;Grupy;Zajecia;Sala;Forma zaliczenia;Uwagi;
;12:35;14:55;3h00m;Infor. 1st 1sem WykS ;Podstawy informatyki ;S55 111 ;Zaliczenie ocena;;
;15:10;17:30;3h00m;Infor. 1st 1sem Cw3S ;Algorytmy i struktury danych ;S47 212 - prac. matematyczna/ratownicza ;Zaliczenie ocena;;
;17:45;19:15;2h00m;Infor. 1st 1sem Cw3S ;Analiza matematyczna 1 ;S47 312 - prac. matematyczna ;Zaliczenie ocena;;
Data Zajec: 2025.10.24 piatek ;;;;;;;;;
;9:45;11:15;2h00m;Infor. 1st 1sem WykS ;Algebra liniowa z geometria analityczna ;;Egzamin;Distance learning;
;11:30;13:00;2h00m;Infor. 1st 1sem WykS ;Algebra liniowa z geometria analityczna ;;Egzamin;Distance learning;
Data Zajec: 2025.10.27 poniedzialek ;;;;;;;;;
;9:00;12:15;4h00m;Infor. 1st 1sem Cw3S ;Fizyka 1 ;S47 212 - prac. matematyczna/ratownicza ;Zaliczenie ocena;;
;12:30;14:00;2h00m;Infor. 1st 1sem Cw3S ;Programowanie w jezyku Python 1 ;S47 208 ;Zaliczenie ocena;;
;12:30;14:00;2h00m;Infor. 1st 1sem Cw2S ;Analiza matematyczna 1 ;S47 212 - prac. matematyczna/ratownicza ;Zaliczenie ocena;;
;12:45;15:00;3h00m;Infor. 1st 1sem Cw1S ;Programowanie w jezyku Python 1 ;S47 310 - Lab. sieci/Prac. komputerowa/Cisco ;Zaliczenie ocena;;
;14:15;15:45;2h00m;Infor. 1st 1sem Cw2S ;Analiza matematyczna 1 ;S47 212 - prac. matematyczna/ratownicza ;Zaliczenie ocena;;
;14:15;15:45;2h00m;Infor. 1st 1sem Cw3S ;Programowanie w jezyku Python 1 ;S47 208 ;Zaliczenie ocena;;
;16:00;17:30;2h00m;Infor. 1st 1sem WykS ;Etyka inzyniera i prawo autorskie ;S47 118 ;Zaliczenie ocena;;
;17:45;19:15;2h00m;Infor. 1st 1sem Cw1S ;Etyka inzyniera i prawo autorskie ;S47 109 ;Zaliczenie ocena;;
Data Zajec: 2025.10.28 wtorek ;;;;;;;;;
;8:10;9:40;2h00m;Infor. 1st 1sem Cw1S ;Podstawy informatyki ;S47 210 ;Zaliczenie ocena;;
;10:00;11:30;2h00m;Infor. 1st 1sem Cw1S ;Podstawy informatyki ;S47 210 ;Zaliczenie ocena;;
;10:45;12:15;2h00m;Infor. 1st 1sem Cw2S ;Kompetencje przyszlosci 1 ;S47 212 - prac. matematyczna/ratownicza ;Zaliczenie;;
;12:30;14:00;2h00m;Infor. 1st 1sem Cw1S ;Algebra liniowa z geometria analityczna ;S47 312 - prac. matematyczna ;Zaliczenie ocena;;
;12:30;14:00;2h00m;Infor. 1st 1sem Cw2S ;Kompetencje przyszlosci 1 ;S47 212 - prac. matematyczna/ratownicza ;Zaliczenie;;
;14:15;15:45;2h00m;Infor. 1st 1sem Cw1S ;Algebra liniowa z geometria analityczna ;S47 312 - prac. matematyczna ;Zaliczenie ocena;;
;14:20;16:40;3h00m;Infor. 1st 1sem Cw2S ;Algorytmy i struktury danych ;S47 213 - prac. ratownicza ;Zaliczenie ocena;;
;16:00;19:10;4h00m;Infor. 1st 1sem Cw3S ;Algebra liniowa z geometria analityczna ;S47 312 - prac. matematyczna ;Zaliczenie ocena;;
